time,weaSta_reaWeaTDryBul_y
864000.0,8.600000000000023
864030.0,8.602215210700763
864060.0,8.604278503787896
864090.0,8.606191370738657
864120.0,8.60795530303028
864150.0,8.609571792140173
864180.0,8.611042329545455
864210.0,8.612368406723476
864240.0,8.613551515151528
864270.0,8.614593146306845
864300.0,8.615494791666663
864330.0,8.61625794270833
864360.0,8.616884090909082
864390.0,8.61737472774621
864420.0,8.61773134469695
864450.0,8.617955433238649
864480.0,8.618048484848487
864510.0,8.618011991003812
864540.0,8.617847443181802
864570.0,8.617556332859863
864600.0,8.617140151515173
864630.0,8.616600390625024
864660.0,8.615938541666651
864690.0,8.615156096117403
864720.0,8.614254545454571
864750.0,8.613235381155278
864780.0,8.612100094696984
864810.0,8.610850177556813
864840.0,8.609487121212112
864870.0,8.608012417140174
864900.0,8.606427556818176
864930.0,8.604734031723467
864960.0,8.60293333333334
864990.0,8.601026953124972
865020.0,8.599016382575769
865050.0,8.596903113162853
865080.0,8.594688636363628
865110.0,8.59237444365533
865140.0,8.589962026515138
865170.0,8.587452876420457
865200.0,8.584848484848465
865230.0,8.58215034327651
865260.0,8.579359943181828
865290.0,8.576478776041654
865320.0,8.573508333333336
865350.0,8.57045010653411
865380.0,8.567305587121211
865410.0,8.564076266571988
865440.0,8.560763636363617
865470.0,8.557369187973507
865500.0,8.553894412878776
865530.0,8.550340802556832
865560.0,8.546709848484852
865590.0,8.543003042140128
865620.0,8.53922187500001
865650.0,8.535367838541674
865680.0,8.531442424242414
865710.0,8.52744712357952
865740.0,8.523383428030286
865770.0,8.519252829071945
865800.0,8.51505681818179
865830.0,8.510796886837113
865860.0,8.506474526515149
865890.0,8.502091228693189
865920.0,8.497648484848469
865950.0,8.493147786458337
865980.0,8.488590624999972
866010.0,8.48397849195078
866040.0,8.47931287878788
866070.0,8.474595276988623
866100.0,8.4698271780303
866130.0,8.465010073390147
866160.0,8.460145454545454
866190.0,8.455234812973458
866220.0,8.450279640151507
866250.0,8.445281427556836
866280.0,8.44024166666668
866310.0,8.43516184895833
866340.0,8.43004346590908
866370.0,8.42488800899622
866400.0,8.419696969696986
866430.0,8.414471839488613
866460.0,8.409214109848506
866490.0,8.403925272253787
866520.0,8.398606818181804
866550.0,8.39326023910985
866580.0,8.387887026515159
866610.0,8.382488671875024
866640.0,8.377066666666678
866670.0,8.371622502367416
866700.0,8.366157670454527
866730.0,8.360673662405304
866760.0,8.355171969696983
866790.0,8.349654083806797
866820.0,8.344121496212097
866850.0,8.338575698390173
866880.0,8.333018181818204
866910.0,8.327450437973482
866940.0,8.321873958333356
866970.0,8.316290234375003
867000.0,8.310700757575773
867030.0,8.305107019412901
867060.0,8.299510511363621
867090.0,8.293912724905283
867120.0,8.288315151515178
867150.0,8.282719282670428
867180.0,8.277126609848494
867210.0,8.2715386245265
867240.0,8.265956818181792
867270.0,8.260382682291663
867300.0,8.254817708333348
867330.0,8.249263387784083
867360.0,8.243721212121216
867390.0,8.238192672821981
867420.0,8.232679261363614
867450.0,8.227182469223465
867480.0,8.221703787878766
867510.0,8.216244708806812
867540.0,8.210806723484836
867570.0,8.205391323390131
867600.0,8.199999999999989
867630.0,8.194609076879885
867660.0,8.189194163860805
867690.0,8.183755681818184
867720.0,8.178294051627404
867750.0,8.172809694163846
867780.0,8.167303030303003
